Date,Open,High,Low,Close
31-Dec-11,15534.67,15542.85,15358.02,15517.92
2-Jan-12,15534.67,15542.85,15358.02,15517.92
3-Jan-12,15640.56,15970.31,15640.56,15939.36
4-Jan-12,15967.49,16004.69,15822.32,15882.64
5-Jan-12,15893.07,15980.17,15809.31,15857.08
6-Jan-12,15789.08,16001.31,15664.91,15867.73
7-Jan-12,15893.3,15900.3,15835.29,15848.8
9-Jan-12,15840.22,15871.51,15678.3,15814.72
10-Jan-12,15898.32,16180.97,15898.32,16165.09
11-Jan-12,16222.37,16244.7,16127.77,16175.86
12-Jan-12,16117.19,16178.58,15962.59,16037.51
13-Jan-12,16144.57,16257.34,16049.78,16154.62
16-Jan-12,16086.74,16214.36,16037.6,16189.36
17-Jan-12,16270.87,16501.38,16270.87,16466.05
18-Jan-12,16502.42,16517.96,16384.48,16451.47
19-Jan-12,16573.87,16662.06,16572.1,16643.74
20-Jan-12,16745.01,16788.48,16611.71,16739.01
23-Jan-12,16667.02,16784,16659.32,16751.73
24-Jan-12,16806.72,17050.32,16770.01,16995.77
25-Jan-12,17068.85,17130.24,17016.69,17077.18
27-Jan-12,17201.33,17258.97,17106.57,17233.98
30-Jan-12,17138.04,17138.04,16828.33,16863.3
31-Jan-12,16965.58,17238.99,16965.58,17193.55
1-Feb-12,17179.64,17327.21,17061.55,17300.58
2-Feb-12,17438.07,17504.25,17308.28,17431.85
3-Feb-12,17444.25,17630.53,17382.7,17604.96
6-Feb-12,17741.91,17829.72,17595.1,17707.31
7-Feb-12,17813.74,17832.04,17582.49,17622.45
8-Feb-12,17631.69,17809.21,17579.59,17707.32
9-Feb-12,17647.8,17879.46,17609.43,17830.75
10-Feb-12,17817.59,17890.11,17627.14,17748.69
13-Feb-12,17761.7,17849.64,17665.89,17772.84
14-Feb-12,17767.46,17890.33,17742.58,17848.57
15-Feb-12,18000.3,18231.35,18000.3,18202.41
16-Feb-12,18163.05,18182.78,18043.32,18153.99
17-Feb-12,18331.2,18423.06,18234.56,18289.35
21-Feb-12,18303.73,18470.86,18293.8,18428.61
22-Feb-12,18490.87,18523.78,18095.81,18145.25
23-Feb-12,18127.35,18249.53,18005.28,18078.5
24-Feb-12,18079.01,18198.15,17848.93,17923.57
27-Feb-12,17975.19,17975.19,17381.64,17445.75
28-Feb-12,17545.11,17776.82,17530.44,17731.12
29-Feb-12,17919.93,18001.35,17677.97,17752.68
1-Mar-12,17714.62,17717.53,17463.27,17583.97
2-Mar-12,17661.39,17731.88,17504.38,17636.8
3-Mar-12,17648.47,17676.83,17617.88,17636.99
5-Mar-12,17598.42,17598.42,17312.3,17362.87
6-Mar-12,17336.64,17691.96,17128.28,17173.29
7-Mar-12,17127.18,17239.35,17008.77,17145.52
9-Mar-12,17325.82,17531.62,17325.82,17503.24
12-Mar-12,17772.1,17772.1,17494.65,17587.67
13-Mar-12,17680.23,17842.92,17680.23,17813.62
14-Mar-12,18003.15,18040.69,17837.22,17919.3
15-Mar-12,17916.85,17918.25,17622.13,17675.85
16-Mar-12,17656.81,17871,17426.58,17466.2
19-Mar-12,17531.47,17561.46,17226.43,17273.37
20-Mar-12,17308.89,17410.13,17211.73,17316.18
21-Mar-12,17301.16,17622.87,17275.88,17601.71
22-Mar-12,17586.06,17687.01,17136.5,17196.47
23-Mar-12,17257.72,17458.35,17179.33,17361.74
26-Mar-12,17377.59,17377.59,17021.85,17052.78
27-Mar-12,17209.13,17366.84,17061.16,17257.36
28-Mar-12,17234.48,17245.82,17040.12,17121.62
29-Mar-12,17039.85,17109.35,16920.61,17058.61
30-Mar-12,17117.41,17439.51,17105.22,17404.2
2-Apr-12,17429.96,17529.98,17382.38,17478.15
3-Apr-12,17576.21,17664.1,17570.01,17597.42
4-Apr-12,17553.26,17553.26,17436.6,17486.02
9-Apr-12,17407.66,17407.66,17199.63,17222.14
10-Apr-12,17259.26,17274.69,17135.76,17243.84
11-Apr-12,17125.96,17319.15,17075.89,17199.4
12-Apr-12,17276.87,17395.15,17276.87,17332.62
13-Apr-12,17232.56,17398.22,17027.3,17094.51
16-Apr-12,17047.87,17173.06,17010.16,17150.95
17-Apr-12,17200.97,17381.92,17103.36,17357.94
18-Apr-12,17447.26,17522.8,17371.93,17392.39
